rank,base_seed,verified_sister_seed,verified_sister_high32,verified_portal_tp,no_sister_found_high32_0_65535,eyes,pearls,total,pearl_radius,fortress_distance,blaze_spawner_distance,portal_y,origin_distance,portal_tp,portal_x,portal_y_coord,portal_z,stronghold_x,stronghold_z,chests,source_status
1,2209022,4297176318,1,/tp @s -1433 -24 145,no,7,6,13,35.128,415.247,477.248,-24,1440.317,/tp @s -1433 -24 145,-1433,-24,145,-1388,164,"-1404,-25,159:1;-1412,-21,173:1;-1431,-39,160:1;-1450,-37,169:3",added
2,3144125,532579088829,124,/tp @s 745 28 1182,no,6,6,12,39.064,425.131,510.037,28,1397.193,/tp @s 745 28 1182,745,28,1182,756,1140,"739,27,1169:1;726,31,1148:2;721,27,1169:2;751,27,1167:1",added
3,4700145,,,,yes,6,6,12,51.176,276.365,432.887,35,1407.645,/tp @s -1341 35 -428,-1341,35,-428,-1372,-412,"-1348,28,-438:2;-1345,20,-441:2;-1352,14,-448:1;-1308,14,-461:1",added
4,7720356,7720356,0,/tp @s 97 -27 764,no,7,5,12,68.608,354.446,370.005,-27,770.133,/tp @s 97 -27 764,97,-27,764,116,804,"113,-22,786:1;107,-24,759:1;132,-26,823:3",added
5,11258257,21486094737,5,/tp @s -346 -16 1331,no,4,8,12,71.183,127.308,230.034,-16,1375.237,/tp @s -346 -16 1331,-346,-16,1331,-380,1348,"-364,-23,1298:3;-402,-27,1338:2;-409,-13,1364:1;-347,-29,1314:2",added
6,15396992,17195266176,4,/tp @s -369 -26 751,no,7,5,12,39.23,153.370,189.357,-26,836.757,/tp @s -369 -26 751,-369,-26,751,-364,708,"-373,-25,714:1;-356,-25,714:2;-380,-23,720:1;-362,-27,732:1",added
7,15903651,21490740131,5,/tp @s 42 -45 735,no,8,4,12,53.085,622.972,715.541,-45,736.199,/tp @s 42 -45 735,42,-45,735,68,756,"70,-48,780:2;56,-46,736:1;53,-48,780:1",added
8,17493585,,,,yes,8,4,12,84.87,555.783,632.950,-24,965.466,/tp @s 754 -24 603,754,-24,603,804,676,"785,-25,682:1;743,-31,608:1;748,-37,631:2",added
9,22636202,4317603498,1,/tp @s -861 33 -231,no,8,5,13,42.497,6.125,17.879,33,891.449,/tp @s -861 33 -231,-861,33,-231,-892,-236,"-880,34,-269:1;-899,32,-233:1;-886,32,-198:1;-880,32,-233:2",added
10,24153816,51563761368,12,/tp @s -456 32 -1405,no,6,6,12,35.242,152.809,156.813,32,1477.146,/tp @s -456 32 -1405,-456,32,-1405,-476,-1404,"-475,37,-1390:1;-461,39,-1377:2;-487,37,-1389:2;-462,39,-1416:1",added
11,32797533,51572405085,12,/tp @s 763 37 384,no,4,8,12,39.23,446.584,534.176,37,854.181,/tp @s 763 37 384,763,37,384,756,404,"784,34,417:1;787,34,396:3;777,36,385:1;794,34,391:3",added
12,33429954,34393168322,8,/tp @s 317 -30 -1379,no,6,6,12,83.108,255.577,289.405,-30,1414.966,/tp @s 317 -30 -1379,317,-30,-1379,340,-1420,"324,-35,-1409:1;322,-29,-1403:2;332,-19,-1460:2;327,-29,-1382:1",added
13,38155088,21512991568,5,/tp @s 720 -38 866,no,6,6,12,56.524,225.357,255.176,-38,1126.213,/tp @s 720 -38 866,720,-38,866,724,820,"732,-39,845:2;701,-43,813:2;702,-39,856:2",added
14,40752435,12925654323,3,/tp @s -377 2 -1410,no,8,4,12,64.452,296.950,320.232,2,1459.53,/tp @s -377 2 -1410,-377,2,-1410,-364,-1436,"-353,-3,-1459:1;-380,1,-1418:1;-334,1,-1458:2",added
15,47613288,,,,yes,7,5,12,41.677,328.603,488.269,-21,1421.167,/tp @s 1390 -21 -296,1390,-21,-296,1380,-332,"1399,-22,-311:1;1407,-22,-306:2;1350,-32,-300:2",added
16,48040445,25817844221,6,/tp @s -1040 7 -321,no,7,5,12,46.411,206.436,327.573,7,1088.412,/tp @s -1040 7 -321,-1040,7,-321,-1036,-364,"-1022,0,-341:2;-1033,-6,-365:2;-1010,0,-341:1",added
17,54455449,,,,yes,6,6,12,56.524,506.190,553.774,41,1008.62,/tp @s 655 41 -767,655,41,-767,676,-764,"669,34,-752:2;669,42,-807:1;708,46,-786:1;671,32,-809:2",added
18,54544714,30119315786,7,/tp @s -1441 -2 6,no,7,5,12,72.298,143.423,155.051,-2,1441.012,/tp @s -1441 -2 6,-1441,-2,6,-1436,52,"-1440,-3,27:1;-1445,-3,26:2;-1508,-5,33:2",added
19,61638042,4356605338,1,/tp @s 815 -25 -815,no,6,6,12,89.861,360.902,364.854,-25,1152.584,/tp @s 815 -25 -815,815,-25,-815,804,-860,"782,-22,-838:2;858,-22,-876:1;810,-32,-834:2;870,-22,-886:1",added
20,62653806,34422392174,8,/tp @s 1297 9 204,no,6,6,12,17.234,190.007,252.826,9,1312.945,/tp @s 1297 9 204,1297,9,204,1236,212,"1296,-6,198:3;1290,-6,203:2;1303,-6,198:1",added
21,62831901,17242701085,4,/tp @s 640 17 809,no,5,7,12,105.152,698.192,736.141,17,1031.543,/tp @s 640 17 809,640,17,809,628,740,"576,16,741:2;571,10,783:2;576,10,777:2;602,20,711:1",added
22,62914690,12947816578,3,/tp @s 172 -1 -895,no,6,6,12,61.0,261.874,358.581,-1,911.378,/tp @s 172 -1 -895,172,-1,-895,148,-908,"175,-10,-901:2;147,-14,-922:2;125,-16,-912:1;112,-12,-895:1",added
23,74033151,74033151,0,/tp @s 695 -7 -416,no,5,7,12,60.943,411.297,445.373,-7,809.988,/tp @s 695 -7 -416,695,-7,-416,724,-412,"667,-30,-465:2;732,-26,-435:2;724,-26,-427:3",added
24,78269550,12963171438,3,/tp @s 1180 31 102,no,8,4,12,31.922,496.322,541.313,31,1184.4,/tp @s 1180 31 102,1180,31,102,1220,116,"1211,26,106:1;1197,30,129:1;1179,24,93:1;1171,24,100:1",added
25,78894247,34438632615,8,/tp @s 151 -29 792,no,7,5,12,59.624,356.544,408.243,-29,806.266,/tp @s 151 -29 792,151,-29,792,180,804,"187,-34,828:1;153,-36,793:3;194,-34,833:1",added
26,82218719,90276531935,21,/tp @s 127 -31 1329,no,6,6,12,102.694,292.029,419.203,-31,1335.054,/tp @s 127 -31 1329,127,-31,1329,132,1284,"99,-28,1253:2;128,-32,1315:2;79,-28,1262:1;68,-28,1245:1",added
27,84539363,84539363,0,/tp @s 862 -27 -1076,no,6,6,12,69.721,406.335,479.212,-27,1378.702,/tp @s 862 -27 -1076,862,-27,-1076,900,-1068,"874,-28,-1062:2;907,-40,-1109:1;889,-40,-1111:2;924,-48,-1100:1",added
28,84903329,,,,yes,6,6,12,61.082,511.050,621.565,-16,909.754,/tp @s -497 -16 -762,-497,-16,-762,-492,-796,"-535,-21,-784:1;-494,-29,-786:3;-460,-29,-781:1;-510,-25,-821:1",added
29,88770536,,,,yes,8,4,12,25.573,422.962,512.915,-19,1212.048,/tp @s 184 -19 1198,184,-19,1198,244,1204,"206,-20,1204:1;199,-20,1192:2;206,-20,1211:1",added
30,92682419,38747388083,9,/tp @s -921 -9 900,no,6,6,12,43.29,134.318,211.607,-9,1287.727,/tp @s -921 -9 900,-921,-9,900,-876,884,"-901,-16,901:3;-922,-16,877:1;-898,-16,864:2",added
31,97819465,,,,yes,5,7,12,85.965,151.750,297.717,-16,912.513,/tp @s -846 -16 -342,-846,-16,-342,-876,-396,"-869,-17,-407:3;-888,-17,-417:2;-895,-17,-399:2",added
32,101026475,,,,yes,6,7,13,58.464,205.250,250.061,-33,891.348,/tp @s 175 -33 -874,175,-33,-874,196,-924,"166,-34,-903:2;176,-34,-895:1;225,-28,-880:1;232,-28,-886:3",added
33,104805034,17284674218,4,/tp @s 736 -4 1144,no,8,4,12,84.976,200.325,277.973,-4,1360.306,/tp @s 736 -4 1144,736,-4,1144,756,1108,"754,1,1091:2;774,-5,1068:2",added
34,109388841,21584225321,5,/tp @s -463 15 1278,no,4,8,12,43.875,263.146,266.959,15,1359.284,/tp @s -463 15 1278,-463,15,1278,-460,1252,"-484,14,1267:2;-462,14,1264:2;-481,14,1238:3;-476,14,1279:1",added
35,114963297,12999865185,3,/tp @s -706 2 -734,no,6,6,12,54.873,107.606,199.295,2,1018.426,/tp @s -706 2 -734,-706,2,-734,-732,-748,"-747,7,-741:2;-718,5,-727:1;-697,-9,-681:3",added
36,115593397,60245135541,14,/tp @s 120 40 1165,no,6,6,12,60.902,169.625,313.639,40,1171.164,/tp @s 120 40 1165,120,40,1165,116,1204,"109,37,1184:1;108,39,1171:3;60,37,1175:1;72,31,1170:1",added
37,117353499,,,,yes,8,4,12,53.094,264.597,407.467,9,1169.474,/tp @s 665 9 -962,665,9,-962,676,-940,"678,2,-911:1;675,12,-945:1;704,0,-957:2",added
38,118575646,73133019678,17,/tp @s -897 24 107,no,6,6,12,95.068,740.867,860.525,24,903.359,/tp @s -897 24 107,-897,24,107,-892,68,"-883,35,45:1;-974,31,71:1;-988,31,86:2;-886,33,13:2",added
39,121493792,4416461088,1,/tp @s -183 4 1253,no,8,4,12,62.33,632.901,715.275,4,1266.293,/tp @s -183 4 1253,-183,4,1253,-172,1220,"-180,-7,1243:2;-208,-3,1211:1;-143,-9,1207:1",added
40,121637874,13006539762,3,/tp @s -1060 26 -949,no,6,6,12,21.048,309.378,468.526,26,1422.744,/tp @s -1060 26 -949,-1060,26,-949,-1068,-1004,"-1059,25,-970:2;-1047,25,-957:1;-1047,25,-939:3",added
41,122157879,,,,yes,7,5,12,69.188,429.236,517.302,10,1266.409,/tp @s -756 10 -1016,-756,10,-1016,-764,-1004,"-747,7,-1002:1;-741,9,-1022:2;-687,5,-1017:2",added
42,122871691,4417838987,1,/tp @s 234 -21 847,no,6,6,12,54.489,417.252,523.968,-21,878.729,/tp @s 234 -21 847,234,-21,847,244,884,"249,-22,876:2;200,-36,877:1;286,-24,863:1;279,-24,858:2",added
43,125023639,30189794711,7,/tp @s 1271 17 -753,no,5,7,12,90.934,127.813,219.248,17,1477.312,/tp @s 1271 17 -753,1271,17,-753,1332,-796,"1327,22,-779:2;1285,16,-752:2;1361,22,-765:1;1349,22,-782:2",added
44,130038201,130038201,0,/tp @s 754 -38 -433,no,5,7,12,54.433,317.185,398.880,-38,869.485,/tp @s 754 -38 -433,754,-38,-433,804,-444,"771,-39,-442:3;801,-33,-460:1;789,-33,-460:1;789,-31,-424:2",added
45,131902020,4426869316,1,/tp @s -442 -51 1283,no,7,5,12,91.378,305.372,390.648,-51,1357.001,/tp @s -442 -51 1283,-442,-51,1283,-396,1268,"-413,-36,1236:1;-386,-36,1243:1;-448,-52,1268:2;-373,-36,1225:1",added
46,136758448,146165646512,34,/tp @s 859 23 624,no,7,5,12,82.043,245.745,256.492,23,1061.724,/tp @s 859 23 624,859,23,624,884,596,"880,4,547:3;873,22,612:1;864,20,578:1",added
47,137650810,25907454586,6,/tp @s -853 -44 1183,no,7,5,12,42.297,373.052,406.921,-44,1458.457,/tp @s -853 -44 1183,-853,-44,1183,-828,1220,"-811,-39,1183:2;-841,-37,1195:3",added
48,143824269,13028726157,3,/tp @s -1035 1 -820,no,8,5,13,56.196,175.700,178.862,1,1320.464,/tp @s -1035 1 -820,-1035,1,-820,-1020,-796,"-1011,6,-779:2;-1045,-12,-785:2;-1017,6,-767:1",added
49,150085492,,,,yes,7,5,12,49.487,191.516,283.758,7,1063.624,/tp @s 740 7 764,740,7,764,740,788,"766,10,806:2;746,-6,800:1;773,10,799:1;739,-8,772:1",added
50,154925931,,,,yes,7,5,12,43.875,696.276,807.172,16,1245.347,/tp @s 682 16 -1042,682,16,-1042,724,-1052,"720,27,-1041:1;712,17,-1074:2;688,11,-1078:2",added
51,159105663,8749040255,2,/tp @s 1199 -16 780,no,6,6,12,46.282,264.015,338.070,-16,1430.385,/tp @s 1199 -16 780,1199,-16,780,1204,724,"1200,-11,734:2;1207,-11,739:2;1207,-11,753:2",added
52,163821109,4458788405,1,/tp @s 703 -15 -716,no,6,6,12,80.069,136.382,213.176,-15,1003.427,/tp @s 703 -15 -716,703,-15,-716,692,-780,"685,-16,-741:2;729,-18,-730:1;666,-14,-787:1;740,-18,-729:2",added
53,171684011,68891160747,16,/tp @s -297 -12 1285,no,8,4,12,41.352,497.875,520.704,-12,1318.876,/tp @s -297 -12 1285,-297,-12,1285,-284,1332,"-270,-11,1305:1;-305,-9,1313:1;-304,-19,1292:1;-299,-17,1326:1",added
54,172502118,,,,yes,5,7,12,33.121,136.625,205.829,22,993.125,/tp @s 269 22 -956,269,22,-956,276,-972,"272,7,-972:1;261,7,-967:3;257,9,-984:1;261,7,-960:2",added
55,172629109,47417269365,11,/tp @s -552 5 1169,no,6,6,12,65.0,413.155,440.042,5,1292.774,/tp @s -552 5 1169,-552,5,1169,-508,1188,"-500,20,1205:3;-534,16,1200:1;-551,10,1212:1;-569,10,1196:1",added
56,181498589,,,,yes,6,6,12,105.934,618.075,717.678,-30,991.485,/tp @s -991 -30 31,-991,-30,31,-908,36,"-923,-19,37:1;-915,-19,47:2;-900,-25,-23:3",added
57,184310631,,,,yes,6,6,12,27.0,170.253,238.438,9,1008.846,/tp @s 769 9 653,769,9,653,804,676,"795,16,651:3;776,8,646:1;770,14,663:2",added
58,193742530,17373611714,4,/tp @s 836 26 353,no,7,5,12,54.489,353.291,394.420,26,907.472,/tp @s 836 26 353,836,26,353,852,340,"874,17,391:2;856,11,386:1;869,13,392:2",added
59,197511560,17377380744,4,/tp @s -1461 9 202,no,8,4,12,32.031,250.941,332.140,9,1474.898,/tp @s -1461 9 202,-1461,9,202,-1452,196,"-1455,8,227:1;-1441,8,227:2;-1471,20,215:1",added
60,198899083,8788833675,2,/tp @s 194 -27 801,no,6,6,12,33.971,341.501,438.555,-27,824.158,/tp @s 194 -27 801,194,-27,801,212,820,"213,-24,829:1;196,-26,827:2;190,-26,815:2;195,-26,810:1",added
61,200445677,8790380269,2,/tp @s 144 -44 1158,no,7,5,12,67.194,523.077,671.060,-44,1166.919,/tp @s 144 -44 1158,144,-44,1158,100,1124,"91,-49,1117:1;130,-45,1131:2;101,-47,1142:2",added
62,202741132,43152414092,10,/tp @s 1300 20 -374,no,8,4,12,99.01,250.074,411.997,20,1352.729,/tp @s 1300 20 -374,1300,20,-374,1332,-300,"1339,21,-283:2;1335,19,-332:1;1320,13,-332:1",added
63,224745524,116188862516,27,/tp @s -1264 25 609,no,8,4,12,69.843,308.543,315.400,25,1403.06,/tp @s -1264 25 609,-1264,25,609,-1292,580,"-1302,24,594:1;-1269,18,563:1;-1286,12,544:2",added
64,239048679,13123950567,3,/tp @s 408 -40 -791,no,5,7,12,53.423,334.789,399.383,-40,890.025,/tp @s 408 -40 -791,408,-40,-791,388,-844,"402,-37,-844:1;409,-37,-844:2;369,-47,-819:2;411,-53,-791:2",added
65,242422588,30307193660,7,/tp @s 723 22 1297,no,7,5,12,57.784,293.124,416.715,22,1484.903,/tp @s 723 22 1297,723,22,1297,772,1348,"774,25,1324:1;765,29,1331:1;767,25,1319:2;737,25,1304:1",added
66,247454988,4542422284,1,/tp @s 846 -21 780,no,6,6,12,36.469,351.313,409.354,-21,1150.702,/tp @s 846 -21 780,846,-21,780,852,804,"851,-18,816:2;843,-12,776:2;830,-8,806:2",added
67,253140759,313785753367,73,/tp @s -1008 20 767,no,5,7,12,95.446,447.124,500.080,20,1266.631,/tp @s -1008 20 767,-1008,20,767,-956,772,"-934,7,711:2;-967,17,705:2;-948,3,727:2;-966,9,682:1",added
68,254806868,47499447124,11,/tp @s 854 -39 -501,no,6,6,12,66.551,101.020,124.773,-39,990.11,/tp @s 854 -39 -501,854,-39,-501,836,-460,"899,-36,-458:2;900,-36,-453:2;852,-54,-500:1;852,-54,-514:1",added
69,254875950,38909581614,9,/tp @s 745 20 1249,no,5,7,12,55.955,2.875,75.278,20,1454.313,/tp @s 745 20 1249,745,20,1249,756,1220,"736,25,1194:2;746,25,1202:2;780,13,1239:1;717,13,1236:2",added
70,255098524,,,,yes,7,5,12,23.791,264.150,343.136,7,1120.832,/tp @s -939 7 612,-939,7,612,-908,644,"-929,12,633:1;-930,6,629:1;-934,0,615:2;-948,6,629:1",added
71,258447091,,,,yes,7,5,12,60.15,449.514,577.775,0,921.442,/tp @s 884 0 260,884,0,260,900,228,"873,-1,255:1;930,-5,232:2;930,-5,225:1;937,-5,232:1",added
72,263388668,99047636476,23,/tp @s -963 38 -925,no,5,7,12,33.63,355.384,423.759,38,1335.288,/tp @s -963 38 -925,-963,38,-925,-988,-956,"-957,37,-938:3;-932,37,-938:2;-940,37,-930:1;-957,31,-953:1",added
73,270249308,270249308,0,/tp @s 740 19 1231,no,4,8,12,65.131,308.515,408.150,19,1436.301,/tp @s 740 19 1231,740,19,1231,772,1252,"768,24,1230:3;773,18,1237:1;790,20,1230:2;792,6,1268:2",added
74,273446389,43223119349,10,/tp @s -338 -46 811,no,7,5,12,40.125,317.431,366.276,-46,878.615,/tp @s -338 -46 811,-338,-46,811,-332,772,"-339,-49,771:2;-324,-47,830:1;-317,-47,843:1;-312,-47,837:1",added
75,273632368,180662258800,42,/tp @s 201 -8 -1426,no,5,7,12,115.009,17.995,146.331,-8,1440.096,/tp @s 201 -8 -1426,201,-8,-1426,244,-1436,"250,-9,-1417:1;256,-7,-1495:2;209,-15,-1435:2;256,-7,-1527:2",added
76,273688352,43223361312,10,/tp @s -1245 -21 187,no,6,6,12,37.121,151.214,155.243,-21,1258.965,/tp @s -1245 -21 187,-1245,-21,187,-1260,196,"-1250,-14,181:1;-1250,-14,188:1;-1231,-22,217:3;-1236,-22,223:1",added
77,275254370,30340025442,7,/tp @s -1056 2 94,no,9,3,12,72.035,189.035,232.269,2,1060.175,/tp @s -1056 2 94,-1056,2,94,-1004,116,"-1036,7,98:1;-1036,7,91:1;-990,-5,122:1",added
78,277246016,,,,yes,5,7,12,88.465,244.011,247.614,-23,1288.73,/tp @s 1165 -23 -551,1165,-23,-551,1220,-540,"1235,-24,-550:1;1204,-24,-550:3;1198,-24,-571:2;1253,-22,-542:1",added
79,288162408,30352933480,7,/tp @s 1124 38 779,no,9,3,12,40.608,112.051,211.749,38,1367.559,/tp @s 1124 38 779,1124,38,779,1108,740,"1126,35,789:2;1156,31,755:1",added
80,297589829,8887524421,2,/tp @s 239 29 -1426,no,7,5,12,69.383,401.023,445.035,29,1445.89,/tp @s 239 29 -1426,239,29,-1426,260,-1420,"255,28,-1446:2;269,18,-1442:2;256,16,-1492:1",added
81,298017101,73312461133,17,/tp @s 549 5 -1309,no,4,8,12,33.392,427.631,491.156,5,1419.465,/tp @s 549 5 -1309,549,5,-1309,580,-1276,"543,-2,-1294:2;582,4,-1314:1;534,2,-1322:3;546,-2,-1318:2",added
82,300779950,,,,yes,7,5,12,53.16,133.826,226.868,-11,940.843,/tp @s 287 -11 -896,287,-11,-896,276,-956,"288,0,-948:2;288,-6,-915:1;299,-2,-942:2",added
83,302332813,17482201997,4,/tp @s -277 27 -943,no,6,6,12,40.125,322.944,455.150,27,982.842,/tp @s -277 27 -943,-277,27,-943,-300,-908,"-286,44,-935:2;-272,44,-907:1;-304,32,-926:2;-268,44,-928:1",added
84,303390693,30368161765,7,/tp @s 1156 23 65,no,6,6,12,111.62,722.166,865.879,23,1157.826,/tp @s 1156 23 65,1156,23,65,1156,36,"1136,22,61:2;1175,16,47:2;1185,20,-4:1;1077,6,-12:1",added
85,306189510,306189510,0,/tp @s 679 37 -144,no,6,6,12,56.054,205.563,213.888,37,694.102,/tp @s 679 37 -144,679,37,-144,692,-172,"709,36,-163:1;716,40,-186:3;709,36,-156:2",added
86,310165798,13195067686,3,/tp @s -439 -2 822,no,6,6,12,82.474,3.750,48.235,-2,931.883,/tp @s -439 -2 822,-439,-2,822,-460,788,"-452,-3,828:1;-460,-3,831:2;-506,-5,774:1;-502,-9,837:2",added
87,319775535,319775535,0,/tp @s 1324 -49 -326,no,6,6,12,37.0,14.450,72.387,-49,1363.544,/tp @s 1324 -49 -326,1324,-49,-326,1300,-364,"1308,-44,-333:1;1296,-46,-302:1;1334,-52,-341:2;1330,-52,-333:2",added
88,322135513,,,,yes,7,5,12,58.455,135.558,167.565,0,703.495,/tp @s 691 0 132,691,0,132,676,164,"679,-7,149:2;689,-7,190:2;700,-9,131:1",added
89,326888876,38981594540,9,/tp @s -441 6 -1392,no,7,5,12,90.056,486.235,597.246,6,1460.187,/tp @s -441 6 -1392,-441,6,-1392,-380,-1404,"-372,13,-1386:1;-396,7,-1314:2;-407,7,-1336:2",added
90,327405983,30392177055,7,/tp @s -237 -18 -1457,no,7,5,12,50.606,468.790,568.209,-18,1476.15,/tp @s -237 -18 -1457,-237,-18,-1457,-284,-1468,"-282,-23,-1437:1;-257,-25,-1468:2;-263,-29,-1415:2",added
91,335884853,43285557813,10,/tp @s 581 35 -481,no,6,6,12,47.781,147.441,220.120,35,754.269,/tp @s 581 35 -481,581,35,-481,644,-476,"620,40,-474:2;613,40,-474:2;628,40,-488:2",added
92,336436461,73350880493,17,/tp @s -978 -15 656,no,7,5,12,49.406,376.522,471.932,-15,1177.633,/tp @s -978 -15 656,-978,-15,656,-988,644,"-956,-10,680:1;-964,-16,657:1;-932,-16,674:2;-930,-16,661:1",added
93,336799985,124890851569,29,/tp @s -241 -14 -1440,no,4,8,12,76.459,233.610,258.114,-14,1460.028,/tp @s -241 -14 -1440,-241,-14,-1440,-268,-1388,"-227,-21,-1376:2;-287,-17,-1379:1;-306,-17,-1401:2;-226,-27,-1427:3",added
94,337474237,99121722045,23,/tp @s -1434 -5 267,no,5,7,12,41.061,305.722,372.647,-5,1458.645,/tp @s -1434 -5 267,-1434,-5,267,-1468,308,"-1460,2,298:2;-1464,-6,262:1;-1433,-6,249:2;-1448,0,284:2",added
95,340498496,,,,yes,7,5,12,73.164,3.520,16.444,10,1496.965,/tp @s 651 10 1348,651,10,1348,708,1348,"723,15,1360:1;703,9,1384:1;671,9,1344:3",added
96,341892122,,,,yes,6,6,12,49.91,108.645,225.470,-38,904.536,/tp @s 205 -38 -881,205,-38,-881,260,-892,"244,-35,-897:2;242,-33,-872:1;250,-33,-860:2;243,-31,-877:1",added
97,354875347,4649842643,1,/tp @s -331 -10 -913,no,7,5,12,54.827,118.438,244.346,-10,971.149,/tp @s -331 -10 -913,-331,-10,-913,-300,-956,"-322,-7,-967:1;-341,-7,-960:1;-299,-5,-918:2;-292,-5,-918:1",added
98,359819996,21834656476,5,/tp @s -1073 5 -806,no,6,6,12,54.717,369.998,489.541,5,1342.0,/tp @s -1073 5 -806,-1073,5,-806,-1036,-844,"-1020,18,-810:2;-1054,4,-822:2;-1033,18,-837:2",added
99,362697366,107736879766,25,/tp @s -1080 15 209,no,5,7,12,97.929,497.172,603.265,15,1100.037,/tp @s -1080 15 209,-1080,15,209,-988,228,"-998,24,236:3;-1012,20,230:1;-1026,20,230:1;-1002,20,268:2",added
100,363232114,8953166706,2,/tp @s -792 26 797,no,6,6,12,76.223,401.944,489.085,26,1123.598,/tp @s -792 26 797,-792,26,797,-780,788,"-766,17,742:2;-747,17,742:1;-740,17,742:2;-770,7,791:1",added
101,363921290,17543790474,4,/tp @s 1285 35 -369,no,6,6,12,35.903,0.000,57.414,35,1336.932,/tp @s 1285 35 -369,1285,35,-369,1316,-332,"1301,38,-337:2;1294,34,-347:2;1304,34,-368:2",added
102,368007130,64792516570,15,/tp @s -1344 -4 -301,no,6,6,12,86.145,94.593,203.589,-4,1377.293,/tp @s -1344 -4 -301,-1344,-4,-301,-1388,-332,"-1328,-5,-343:1;-1327,-23,-332:2;-1328,-25,-383:3",added
103,374330055,374330055,0,/tp @s 181 -22 -895,no,9,3,12,105.608,285.593,347.023,-22,913.119,/tp @s 181 -22 -895,181,-22,-895,228,-892,"210,-19,-899:2;277,-23,-851:1",added
104,376385028,,,,yes,7,5,12,74.579,433.002,512.113,14,1073.76,/tp @s -1031 14 -300,-1031,14,-300,-1020,-252,"-1039,13,-290:2;-979,7,-247:1;-1035,-3,-265:2",added
105,377692109,17557561293,4,/tp @s 1423 36 299,no,7,5,12,64.692,22.785,53.637,36,1454.074,/tp @s 1423 36 299,1423,36,299,1396,260,"1414,21,255:3;1433,35,289:1;1455,31,243:1",added
106,381122239,,,,yes,8,4,12,36.042,333.665,424.562,2,871.656,/tp @s -810 2 -322,-810,2,-322,-796,-300,"-782,7,-315:1;-788,7,-310:1;-775,7,-315:1;-828,11,-305:1",added
107,381347726,26151151502,6,/tp @s 1125 -28 813,no,6,6,12,54.093,517.224,607.405,-28,1388.018,/tp @s 1125 -28 813,1125,-28,813,1124,756,"1131,-29,800:2;1112,-29,800:1;1112,-41,787:1;1107,-29,762:2",added
108,387889713,,,,yes,4,8,12,49.508,538.866,568.531,-15,1221.856,/tp @s 558 -15 1087,558,-15,1087,612,1108,"578,-22,1078:2;564,-22,1078:2;572,-22,1083:2;593,-16,1052:2",added
109,388016742,26157820518,6,/tp @s -385 -36 1269,no,8,4,12,68.096,890.505,911.688,-36,1326.117,/tp @s -385 -36 1269,-385,-36,1269,-348,1268,"-355,-23,1269:1;-326,-25,1248:2;-331,-25,1229:1",added
110,391413862,4686381158,1,/tp @s -984 -24 -375,no,5,7,12,27.092,550.225,562.614,-24,1053.034,/tp @s -984 -24 -375,-984,-24,-375,-1020,-396,"-983,-25,-389:3;-961,-37,-381:2;-959,-31,-374:1;-959,-31,-368:1",added
111,397009985,,,,yes,6,6,12,90.741,203.481,282.664,37,1480.402,/tp @s -1442 37 -335,-1442,37,-335,-1436,-348,"-1414,26,-366:1;-1457,32,-379:1;-1406,30,-418:2;-1427,26,-325:2",added
112,401728627,13286630515,3,/tp @s -870 7 751,no,7,5,12,53.47,352.415,421.740,7,1149.305,/tp @s -870 7 751,-870,7,751,-876,804,"-856,6,755:1;-869,0,804:3;-872,0,757:1",added
113,401856737,17581725921,4,/tp @s 737 11 -812,no,8,4,12,32.542,112.184,178.560,11,1096.592,/tp @s 737 11 -812,737,11,-812,692,-796,"706,4,-805:1;722,-2,-817:1;724,10,-818:2",added
114,406549832,,,,yes,7,5,12,71.07,4.000,48.443,-7,1086.89,/tp @s 760 -7 777,760,-7,777,724,756,"768,-12,738:2;692,-8,788:1;747,-18,708:2",added
115,409050521,13293952409,3,/tp @s 730 -36 -801,no,5,7,12,86.458,161.493,187.279,-36,1083.744,/tp @s 730 -36 -801,730,-36,-801,724,-844,"742,-29,-808:1;755,-37,-789:2;762,-37,-789:1;667,-31,-860:3",added
116,410171127,,,,yes,6,6,12,80.666,223.028,310.693,2,1152.398,/tp @s 790 2 -839,790,2,-839,788,-812,"770,3,-834:2;790,9,-838:1;797,9,-838:2;867,-5,-816:1",added
117,411106592,9001041184,2,/tp @s 726 41 -943,no,9,3,12,51.439,108.132,208.419,41,1190.095,/tp @s 726 41 -943,726,41,-943,756,-956,"740,38,-961:1;760,30,-980:2",added
118,414925769,21889762249,5,/tp @s -835 -12 520,no,8,4,12,80.405,511.097,621.693,-12,983.679,/tp @s -835 -12 520,-835,-12,520,-828,580,"-815,-11,577:1;-820,-13,539:1;-817,-13,560:1;-827,-11,600:1",added
119,415068977,415068977,0,/tp @s -874 -43 -374,no,6,7,13,86.221,248.549,314.020,-43,950.659,/tp @s -874 -43 -374,-874,-43,-374,-892,-412,"-850,-44,-380:2;-821,-44,-442:3;-821,-44,-403:1;-809,-42,-416:1",added
120,417738656,417738656,0,/tp @s -1318 -8 347,no,5,7,12,37.376,137.765,216.345,-8,1362.913,/tp @s -1318 -8 347,-1318,-8,347,-1372,340,"-1354,-9,337:1;-1325,-9,337:1;-1333,-9,323:2;-1347,-3,324:3",added
